Route,Mode,Infraction,Count
A_colmdriver,Custom,collisions_vehicle,2
A_colmdriver,Custom,stop_infraction,1
A_colmdriver,Custom,vehicle_blocked,2
A_lmdrive,Custom,collisions_vehicle,2
A_lmdrive,Custom,outside_route_lanes,1
A_lmdrive,Custom,route_dev,1
A_lmdrive,Custom,vehicle_blocked,1
A_uniad,Custom,collisions_layout,2
A_uniad,Custom,collisions_vehicle,1
A_uniad,Custom,outside_route_lanes,1
A_uniad,Custom,vehicle_blocked,2
B_colmdriver,Custom,collisions_vehicle,2
B_colmdriver,Custom,stop_infraction,2
B_lmdrive,Custom,route_dev,1
B_lmdrive,Custom,vehicle_blocked,1
C_colmdriver,Custom,stop_infraction,2
D_colmdriver,Custom,stop_infraction,2
D_lmdrive,Custom,collisions_layout,1
D_lmdrive,Custom,outside_route_lanes,1
D_lmdrive,Custom,route_dev,1
D_lmdrive,Custom,vehicle_blocked,1
E_colmdriver,Custom,collisions_vehicle,2
E_colmdriver,Custom,stop_infraction,1
E_colmdriver,Custom,vehicle_blocked,1
E_lmdrive,Custom,route_dev,2
F_lmdrive,Custom,collisions_layout,1
F_lmdrive,Custom,outside_route_lanes,2
F_lmdrive,Custom,route_dev,1
F_lmdrive,Custom,route_timeout,1
G_colmdriver,Custom,route_timeout,2
H_lmdrive,Custom,collisions_vehicle,6
H_lmdrive,Custom,outside_route_lanes,1
H_lmdrive,Custom,route_dev,1
H_lmdrive,Custom,vehicle_blocked,1
I_colmdriver,Custom,stop_infraction,1
I_lmdrive,Custom,route_dev,1
J_colmdriver,Custom,route_dev,1
J_colmdriver,Custom,stop_infraction,2
J_lmdrive,Custom,outside_route_lanes,1
J_lmdrive,Custom,route_dev,2
K_colmdriver,Custom,route_timeout,1
K_lmdrive,Custom,collisions_layout,1
K_lmdrive,Custom,vehicle_blocked,1
myscenario_colmdriver,Custom,stop_infraction,1
new,Custom,collisions_layout,1
